"Map1","Map2","Choice","MapVote","Date","FullPartial","Result","Eliminations","Deaths","Score","Damage","TotalXP","PrimaryWeapon","XPType","DidPlayerVote","GameType","Confirms","Denies","Objectives","ObjectiveKills","Captures","Diffuses","Plants","Time_Sec","Time_Min"
"Miami Strike","The Pines","Miami Strike","3 to 2",2021-04-10,"Full","99-100",11,18,1190,1627,11041,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Express","Cartel","1 to 1",2021-04-10,"Full","92-87",11,19,1720,1926,16009,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Apocalypse","Apocalypse","3 to 2",2021-04-10,"Full","65-100",7,15,850,1073,11090,"Stoner","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Crossroads Strike","Crossroads Strike","3 to 1",2021-04-10,"Full","100-54",15,13,2125,2541,11498,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Garrison","Nuketown '84","4 to 0",2021-04-10,"Full","100-89",13,13,1590,1673,11347,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Cartel","Satellite","2 to 1",2021-04-10,"Full","67-100",10,16,1050,1898,10829,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Moscow","Crossroads Strike","3 to 1",2021-04-10,"Full","100-89",15,13,2175,2230,17477,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Armada Strike","Apocalypse","3 to 0",2021-04-10,NA,NA,NA,NA,NA,NA,NA,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Apocalypse",NA,2021-04-10,"Partial","86-100",7,10,850,867,8719,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Checkmate","Checkmate","4 to 1",2021-04-10,"Full","77-82",7,12,1060,1715,13463,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Cartel","The Pines","3 to 2",2021-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Garrison","Garrison","4 to 3",2021-04-10,"Full","88-78",18,13,3630,2752,24546,"Hauer","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Armada Strike","Miami Strike","1 to 1",2021-04-10,"Full","71-100",12,15,2820,1963,14359,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Raid","Nuketown '84","1 to 0",2021-04-10,"Full","100-88",11,11,1565,1525,14875,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Moscow","Moscow","4 to 1",2021-04-10,"Full","92-86",20,17,3255,2863,21067,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Express","Miami Strike","2 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Raid",NA,2021-04-10,"Partial","187-200",18,23,2370,2239,17468,"Stoner","Double XP + 10%","No","Domination",NA,NA,11,5,6,NA,NA,NA,NA
"The Pines","Crossroads Strike","Crossroads Strike","3 to 0",2021-04-10,"Full","200-163",19,20,2615,2613,16837,"Gallo","Double XP + 10%","No","Domination",NA,NA,17,9,8,NA,NA,NA,NA
"Satellite","Cartel","Satellite","3 to 0",2021-04-10,"Full","159-200",22,17,3250,3668,18997,"Gallo","Double XP + 10%","No","Domination",NA,NA,13,7,6,NA,NA,NA,NA
"The Pines","Apocalypse","Apocalypse","2 to 0",2021-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Domination",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Nuketown '84",NA,2021-04-11,"Full","200-71",8,23,1350,1517,17118,"Pellington","Double XP + 10%","No","Domination",NA,NA,4,1,3,NA,NA,NA,NA
"Apocalypse","Cartel","Apocalypse","3 to 2",2021-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Domination",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","The Pines","The Pines","5 to 3",2021-04-11,"Full","200-153",10,18,2405,1392,20320,"Pellington","Double XP + 10%","No","Domination",NA,NA,11,4,7,NA,NA,NA,NA
"Apocalypse","Armada Strike","Armada Strike","4 to 3",2021-04-11,"Full","200-167",11,19,2725,2036,16882,"Pellington","Double XP + 10%","Yes","Domination",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Moscow","Express","7 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Raid",NA,2021-04-11,"Full","100-74",19,12,2840,2423,16492,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Apocalypse","Crossroads Strike","3 to 0",2021-04-11,"Full","100-91",14,17,1835,2216,14081,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Moscow","Checkmate","5 to 1",2021-04-16,"Full","70-94",11,15,1470,1754,14436,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Moscow",NA,2021-04-16,"Partial","65-85",6,12,1020,1258,7885,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Express","Garrison","4 to 1",2021-04-16,"Full","95-68",17,11,3655,2056,20086,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Express","Crossroads Strike","1 to 0",2021-04-16,"Full","100-98",22,14,4325,3074,15749,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Garrison","Garrison","2 to 1",2021-04-16,"Full","100-82",10,15,1920,1523,14909,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Raid","Raid","3 to 0",2021-04-16,"Full","98-100",20,17,3280,2669,20813,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Checkmate","Checkmate","2 to 1",2021-04-16,"Full","94-80",12,18,1795,2106,20219,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Satellite","Satellite","4 to 1",2021-04-16,"Full","100-69",24,10,3830,3605,16972,"XM4","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Miami Strike","Miami Strike","2 to 1",2021-04-16,"Full","100-88",16,11,3305,2423,13857,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Cartel","Armada Strike","4 to 1",2021-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Crossroads Strike",NA,2021-04-16,"Partial","76-100",13,9,1570,1468,7474,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Garrison","Garrison","1 to 0",2021-04-16,"Full","85-86",24,14,4920,4091,19989,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Armada Strike","Armada Strike","2 to 0",2021-04-16,"Full","66-89",17,22,2100,2674,20301,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Apocalypse",NA,2021-04-16,"Partial","100-87",7,15,1955,1054,18629,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Garrison","Raid","3 to 1",2021-04-16,"Full","89-100",22,13,4100,3374,16950,"XM4","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Crossroads Strike","Crossroads Strike","2 to 0",2021-04-16,"Full","61-100",15,14,3100,2849,17089,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Armada Strike","Armada Strike","2 to 1",2021-04-16,"Full","93-67",17,11,2890,2029,21431,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Garrison","Garrison","2 to 0",2021-04-16,"Full","62-100",9,16,1280,1102,15701,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Satellite",NA,2021-04-16,"Full","88-100",10,17,1790,1363,12965,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Moscow","The Pines","4 to 1",2021-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"The Pines",NA,2021-04-16,"Partial","95-83",12,8,1240,1312,15016,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Moscow","Checkmate","1 to 0",2021-04-16,"Full","81-90",17,17,2660,3021,17970,"XM4","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Miami Strike","Armada Strike","2 to 2",2021-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Checkmate",NA,2021-04-17,"Partial","83-94",18,13,3550,2793,15990,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Express","Nuketown '84","2 to 1",2021-04-17,"Full","85-100",25,15,4340,3685,15303,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Satellite","Crossroads Strike","3 to 0",2021-04-17,"Full","100-99",39,16,9625,5087,27392,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Moscow","Checkmate","2 to 2",2021-04-17,"Full","83-69",17,19,2870,2589,22089,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Express","Satellite","1 to 0",2021-04-17,"Full","95-100",13,25,1315,1847,18560,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Nuketown '84","Nuketown '84","3 to 1",2021-04-17,"Full","100-57",17,14,2700,2230,13542,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Moscow","Raid","1 to 1",2021-04-17,"Full","82-100",18,17,1695,2592,18833,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Apocalypse","Garrison","2 to 1",2021-04-17,"Full","97-100",20,17,2100,2217,17114,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Armada Strike","Armada Strike","6 to 2",2021-04-17,"Full","97-100",20,16,2545,3359,23638,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Nuketown '84","Nuketown '84","3 to 1",2021-04-17,"Full","100-70",20,13,2335,2223,15581,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Express","The Pines","3 to 2",2021-04-17,"Full","88-100",15,15,1750,2400,17753,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Nuketown '84","Nuketown '84","4 to 0",2021-04-17,"Full","100-88",28,14,4155,3499,18153,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Crossroads Strike","Crossroads Strike","4 to 0",2021-04-17,"Full","100-71",21,13,2520,3027,13788,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Apocalypse","Moscow","2 to 0",2021-04-17,"Full","89-100",24,27,3380,3719,19507,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Cartel","Garrison","3 to 3",2021-04-17,"Full","79-94",19,12,2445,2621,17899,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Armada Strike","Armada Strike","2 to 0",2021-04-17,"Full","84-100",24,17,4805,3598,30408,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Crossroads Strike","Crossroads Strike","4 to 0",2021-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Checkmate","Nuketown '84","4 to 1",2021-04-17,"Full","100-65",17,18,3165,2634,15506,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Satellite","Satellite","3 to 2",2021-04-17,"Full","99-100",14,15,2075,2174,13692,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Raid","Raid","3 to 2",2021-04-17,"Full","100-91",12,13,2075,1878,20506,"Mac 10","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Nuketown '84","Nuketown '84","3 to 1",2021-04-17,"Partial","81-100",11,17,756,1457,9313,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Apocalypse","Garrison","5 to 0",2021-04-17,"Full","100-89",22,14,2785,3363,17723,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","The Pines","Miami Strike","1 to 1",2021-04-17,"Full","100-67",18,15,3610,2215,17602,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Moscow","Satellite","2 to 1",2021-04-17,"Full","100-74",21,10,3815,3116,33069,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Apocalypse","Raid","6 to 1",2021-04-17,"Full","84-100",14,14,2490,2290,14610,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Garrison","Express","5 to 0",2021-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Satellite","Satellite","3 to 2",2021-04-23,"Full","61-100",11,17,2535,2193,11329,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Checkmate","Checkmate","3 to 1",2021-04-23,"Full","100-97",22,17,3410,2741,22452,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Moscow","Moscow","2 to 0",2021-04-23,"Full","100-89",13,17,1740,1734,16600,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Raid","Raid","2 to 1",2021-04-23,"Full","99-100",27,12,5235,3929,20385,"Mac 10","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Armada Strike","Miami","3 to 2",2021-04-23,"Full","70-67",8,16,800,1134,15677,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Yamantau","Crossroads Strike","3 to 0",2021-04-23,"Full","100-87",21,20,3495,3242,13094,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Satellite",NA,2021-04-23,"Full","99-95",15,13,2305,2454,21853,"Stoner","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Nuketown '84","Nuketown '84","3 to 1",2021-04-23,"Full","95-100",21,18,3215,2350,13238,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Raid","Raid","2 to 0",2021-04-23,"Full","100-84",23,14,5265,3262,21667,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Miami Strike","Diesel","1 to 0",2021-04-23,"Full","65-100",15,13,3505,2513,19095,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Satellite","Satellite","2 to 0",2021-04-23,"Full","100-73",10,11,1085,1592,12020,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Crossroads Strike","The Pines","3 to 2",2021-04-23,"Full","75-100",11,16,2030,1915,14695,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Garrison",NA,2021-04-23,"Partial","82-85",20,10,3140,3028,14104,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Miami","Checkmate","1 to 0",2021-04-23,"Full","98-94",14,16,2305,2189,19756,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Crossroads Strike","Raid","2 to 0",2021-04-23,"Full","100-73",16,12,1725,1961,16737,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Yamantau",NA,2021-04-23,"Full","92-100",19,14,2865,2741,15235,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Apocalypse","Express","1 to 0",2021-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Armada Strike","Miami Strike","4 to 1",2021-04-23,"Full","100-70",25,13,4405,3387,15695,"Mac 10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Express","Miami","1 to 0",2021-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"The Pines",NA,2021-04-23,"Full","77-100",21,16,2830,3521,26756,"RPD","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Cartel","Diesel","2 to 1",2021-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Crossroads Stirke","Miami","3 to 2",2021-04-24,"Full","69-60",11,9,1745,1842,16989,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Garrison","Diesel","3 to 1",2021-04-24,"Full","100-88",31,13,3520,4598,25261,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Garrison","Garrison","3 to 0",2021-04-24,"Full","73-100",16,19,1895,2446,20921,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Nuketown '84","Nuketown '84","2 to 0",2021-04-24,"Full","83-100",13,15,1650,2095,11277,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Cartel","Miami Strike","1 to 1",2021-04-24,"Full","96-100",24,16,3980,3546,17868,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Diesel","Diesel","4 to 0",2021-04-24,"Full","78-100",14,19,1115,1560,12520,"Combat Knife","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Checkmate","Moscow","2 to 2",2021-04-24,"Full","100-66",12,12,1360,1967,15178,"Combat Knife","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Cartel","Cartel","2 to 0",2021-04-24,"Full","70-100",13,16,1130,1684,15024,"Combat Knife","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Moscow","Express","2 to 1",2021-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Miami","Cartel","5 to 0",2021-04-24,"Full","95-75",19,14,3070,3202,25417,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","The Pines","The Pines","2 to 1",2021-04-24,"Full","73-100",17,19,1960,2323,18493,"FFAR 1","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Miami Strike","Crossroads Strike","3 to 0",2021-04-24,"Full","100-92",23,16,4115,2895,17467,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Garrison","Nuketown '84","2 to 0",2021-04-24,"Full","100-71",13,12,1970,1904,12479,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Moscow","Checkmate","1 to 0",2021-04-24,"Full","90-93",26,13,5490,3858,21465,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Express","Armada Strike","1 to 0",2021-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Express",NA,2021-04-24,"Full","92-98",26,15,3760,4053,21700,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Miami Strike","Miami Strike","2 to 0",2021-04-24,"Full","76-100",14,18,1825,2311,13600,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Apocalypse",NA,2021-04-24,"Full","91-100",17,19,2655,4095,17908,"FFAR 1","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Miami","Garrison","3 to 0",2021-05-04,"Full","94-68",14,14,2090,2213,10200,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Satellite","Moscow","2 to 0",2021-05-04,"Full","78-100",19,19,2810,2626,10106,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Raid","Raid","4 to 0",2021-05-04,"Full","98-100",28,15,3180,4325,13065,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Miami Strike","Diesel","2 to 0",2021-05-04,"Full","85-100",14,16,2280,2453,7766,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Satellite","Satellite","2 to 0",2021-05-04,"Full","76-100",21,16,2495,3705,9886,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Cartel","Nuketown '84","3 to 0",2021-05-04,"Full","100-86",17,19,2610,2421,8184,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Checkmate","Crossroads Strike","2 to 0",2021-05-04,"Full","100-78",25,20,3420,4506,15399,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Cartel","Cartel","3 to 1",2021-05-04,"Full","74-88",16,20,2040,3319,15905,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Yamantau","Express","3 to 0",2021-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Armada Strike","The Pines","1 to 0",2021-05-05,"Partial","71-91",14,15,2355,2720,9747,"Stoner 63","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Apocalypse","Express","2 to 2",2021-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Moscow","Moscow","5 to 3",2021-05-05,"Full","76-73",29,6,6710,4542,21037,"Stoner 63","10% Boost","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Express","Miami","4 to 1",2021-05-05,"Full","39-73",14,12,2975,2169,13524,"Stoner 63","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Armada Strike","Miami Strike","2 to 1",2021-05-05,"Full","66-100",12,19,2320,2794,8527,"Stoner 63","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Checkmate","Diesel","3 to 0",2021-05-05,"Full","65-100",26,19,4765,3865,15417,"Stoner 63","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Apocalypse","The Pines","0 to 0",2021-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Apocalypse",NA,2021-05-05,"Partial","100-68",11,4,1935,1729,9175,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Crossroads Strike","Yamantau","2 to 1",2021-05-05,"Full","100-76",22,17,2150,2965,10405,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Express","Express","4 to 2",2021-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Express","The Pines","3 to 3",2021-05-06,"Full","95-86",15,16,2095,3073,10380,"FFAR 1","10% Boost","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Apocalypse","Raid","3 to 0",2021-05-06,"Full","100-52",18,10,2315,2850,8819,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Miami","Miami Strike","2 to 0",2021-05-06,"Full","76-100",15,16,1410,2013,5242,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Diesel","Diesel","1 to 0",2021-05-06,"Full","62-100",12,17,1240,1837,6964,"FFAR 1","10% Boost","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Crossroads Strike","Crossroads Strike","3 to 0",2021-05-06,"Full","93-100",23,22,2395,3655,11698,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Garrison","Checkmate","1 to 1",2021-05-06,"Full","100-86",15,13,2455,2146,7825,"FFAR 1","10% Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Moscow","Satellite","2 to 1",2021-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
